"townid","town","county","x","full_address","full_address_Ire","lon","lat"
1292,"Kilmacanogue","Wicklow","","Kilmacanogue,Wicklow","Kilmacanogue,Wicklow,Ireland",-6.13946,53.16901
579,"Kilmacow","Kilkenny","","Kilmacow,Kilkenny","Kilmacow,Kilkenny,Ireland",-7.1769117,52.3123573
886,"Kilmacow","","","Kilmacow,","Kilmacow,,Ireland",-7.1769117,52.3123573
1996,"Kilmacrennan","Donegal","","Kilmacrennan,Donegal","Kilmacrennan,Donegal,Ireland",-7.7793541,55.030269
887,"Kilmacthomas","Waterford","","Kilmacthomas,Waterford","Kilmacthomas,Waterford,Ireland",-7.4267652,52.2054897
2104,"Kilmactranny","Sligo","","Kilmactranny,Sligo","Kilmactranny,Sligo,Ireland",-8.254272,54.0599907
1141,"Kilmacud","Dublin","","Kilmacud,Dublin","Kilmacud,Dublin,Ireland",-6.2105424,53.2844749
1602,"Kilmaine","Mayo","","Kilmaine,Mayo","Kilmaine,Mayo,Ireland",-9.1220228,53.5813773
384,"Kilmainham","Dublin","","Kilmainham,Dublin","Kilmainham,Dublin,Ireland",-6.3215398,53.3430611
1167,"Kilmainhamwood","","","Kilmainhamwood,","Kilmainhamwood,,Ireland",-6.8048926,53.852351
1517,"Kilmainhamwood","Meath","","Kilmainhamwood,Meath","Kilmainhamwood,Meath,Ireland",-6.8048926,53.852351
1200,"Kilmaley","Clare","","Kilmaley,Clare","Kilmaley,Clare,Ireland",-9.1088004,52.8188315
653,"Kilmallock","Limerick","","Kilmallock,Limerick","Kilmallock,Limerick,Ireland",-8.5709354,52.3986564
1699,"Kilmanagh","Kilkenny","","Kilmanagh,Kilkenny","Kilmanagh,Kilkenny,Ireland",-7.4209239,52.6208642
888,"Kilmeaden","Waterford","","Kilmeaden,Waterford","Kilmeaden,Waterford,Ireland",-7.24281,52.23333
1374,"Kilmeague","Kildare","","Kilmeague,Kildare","Kilmeague,Kildare,Ireland",-6.8399263,53.2510535
1364,"Kilmeaney","","","Kilmeaney,","Kilmeaney,,Ireland",-9.3921863,52.4356518
1383,"Kilmeedy","Limerick","","Kilmeedy,Limerick","Kilmeedy,Limerick,Ireland",-8.9156753,52.4160361
2301,"Kilmeena","Mayo","","Kilmeena,Mayo","Kilmeena,Mayo,Ireland",-9.5369149,53.8331842
744,"Kilmessan","Meath","","Kilmessan,Meath","Kilmessan,Meath,Ireland",-6.6589527,53.5588885
1521,"Kilmichael","Cork","","Kilmichael,Cork","Kilmichael,Cork,Ireland",-9.0416896,51.8340687
95,"Kilmihil","Clare","","Kilmihil,Clare","Kilmihil,Clare,Ireland",-9.3200276,52.7245443
1165,"Kilmoganny","Kilkenny","","Kilmoganny,Kilkenny","Kilmoganny,Kilkenny,Ireland",-7.3289369,52.4613287
1849,"Kilmore","Clare","","Kilmore,Clare","Kilmore,Clare,Ireland",-8.5927229,52.7543882
2183,"Kilmore","Dublin","","Kilmore,Dublin","Kilmore,Dublin,Ireland",-6.2193851,53.392687
2208,"Kilmore","Wexford","","Kilmore,Wexford","Kilmore,Wexford,Ireland",-6.5473792,52.2056319
2492,"Kilmore","Roscommon","","Kilmore,Roscommon","Kilmore,Roscommon,Ireland",-8.0106272,53.8882766
2493,"Kilmore","Roscommon","","Kilmore,Roscommon","Kilmore,Roscommon,Ireland",-8.0106272,53.8882766
2556,"Kilmore","Armagh","","Kilmore,Armagh","Kilmore,Armagh,Ireland",-6.5472,54.39872
941,"Kilmore Quay","Wexford","","Kilmore Quay,Wexford","Kilmore Quay,Wexford,Ireland",-6.5863919,52.1757194
1403,"Kilmore West","Dublin","","Kilmore West,Dublin","Kilmore West,Dublin,Ireland",-6.2254707,53.3950428
2201,"Kilmorna","Kerry","","Kilmorna,Kerry","Kilmorna,Kerry,Ireland",-9.3752416,52.4293434
1026,"Kilmovee","Mayo","","Kilmovee,Mayo","Kilmovee,Mayo,Ireland",-8.6882088,53.8883461
1838,"Kilmoyley","Kerry","","Kilmoyley,Kerry","Kilmoyley,Kerry,Ireland",-9.7719999,52.36914
942,"Kilmuckridge","Wexford","","Kilmuckridge,Wexford","Kilmuckridge,Wexford,Ireland",-6.2839346,52.5130885
2422,"Kilmurry","Cork","","Kilmurry,Cork","Kilmurry,Cork,Ireland",-8.8818965,51.8416212
1129,"Kilmurry McMahon","Clare","","Kilmurry McMahon,Clare","Kilmurry McMahon,Clare,Ireland",-9.29412,52.65228
1186,"Kilnaboy","Clare","","Kilnaboy,Clare","Kilnaboy,Clare,Ireland",-9.087298,52.9710844
61,"Kilnaleck","Cavan","","Kilnaleck,Cavan","Kilnaleck,Cavan,Ireland",-7.3213784,53.8622249
1494,"Kilnamanagh","Dublin","","Kilnamanagh,Dublin","Kilnamanagh,Dublin,Ireland",-6.3571472,53.3067422
1402,"Kilnamartyra","Cork","","Kilnamartyra,Cork","Kilnamartyra,Cork,Ireland",-9.08222,51.90026
1998,"Kilnamona","Clare","","Kilnamona,Clare","Kilnamona,Clare,Ireland",-9.0781293,52.8681246
2159,"Kilnap","Cork","","Kilnap,Cork","Kilnap,Cork,Ireland",-8.4802091,51.9246769
1530,"Kilpedder","Wicklow","","Kilpedder,Wicklow","Kilpedder,Wicklow,Ireland",-6.1055471,53.1103735
1767,"Kilquade","Wicklow","","Kilquade,Wicklow","Kilquade,Wicklow,Ireland",-6.0887606,53.1056566
1372,"Kilrane","Wexford","","Kilrane,Wexford","Kilrane,Wexford,Ireland",-6.3549143,52.2419402
1628,"Kilrea","Derry","","Kilrea,Derry","Kilrea,Derry,Ireland",-6.5555797,54.951589
475,"Kilronan","","","Kilronan,","Kilronan,,Ireland",-9.6703728,53.1232125
1472,"Kilrooskey","Roscommon","","Kilrooskey,Roscommon","Kilrooskey,Roscommon,Ireland",-8.11826,53.67608
1025,"Kilross","Tipperary","","Kilross,Tipperary","Kilross,Tipperary,Ireland",-8.2844396,52.4369676
1056,"Kilrossanty","Waterford","","Kilrossanty,Waterford","Kilrossanty,Waterford,Ireland",-7.540557,52.1782195
96,"Kilrush","Clare","","Kilrush,Clare","Kilrush,Clare,Ireland",-9.4859374,52.6406999
1792,"Kilsallaghan","Dublin","","Kilsallaghan,Dublin","Kilsallaghan,Dublin,Ireland",-6.3190627,53.4758858
2293,"Kilsaran","Louth","","Kilsaran,Louth","Kilsaran,Louth,Ireland",-6.4060365,53.8904477
1870,"Kilshanny","Clare","","Kilshanny,Clare","Kilshanny,Clare,Ireland",-9.298385,52.982473
2602,"Kilshanroe","Kildare","","Kilshanroe,Kildare","Kilshanroe,Kildare,Ireland",-6.89274,53.38391
849,"Kilsheelan","Tipperary","","Kilsheelan,Tipperary","Kilsheelan,Tipperary,Ireland",-7.5834557,52.3615815
1612,"Kiltale","Meath","","Kiltale,Meath","Kiltale,Meath,Ireland",-6.6669133,53.5312935
2442,"Kiltealy","Wexford","","Kiltealy,Wexford","Kiltealy,Wexford,Ireland",-6.7455835,52.565427
2592,"Kilteel","Kildare","","Kilteel,Kildare","Kilteel,Kildare,Ireland",-6.5215142,53.2359545
1899,"Kilteely","Limerick","","Kilteely,Limerick","Kilteely,Limerick,Ireland",-8.3914949,52.55402
1524,"Kilteevan","Roscommon","","Kilteevan,Roscommon","Kilteevan,Roscommon,Ireland",-8.0952894,53.631673
970,"Kiltegan","","","Kiltegan,","Kiltegan,,Ireland",-6.605596,52.9040404
1086,"Kiltegan","Wicklow","","Kiltegan,Wicklow","Kiltegan,Wicklow,Ireland",-6.605596,52.9040404
385,"Kilternan","Dublin","","Kilternan,Dublin","Kilternan,Dublin,Ireland",-6.1937835,53.2359571
721,"Kiltimagh","Mayo","","Kiltimagh,Mayo","Kiltimagh,Mayo,Ireland",-8.9994739,53.8494839
2659,"Kiltoom","Roscommon","","Kiltoom,Roscommon","Kiltoom,Roscommon,Ireland",-8.0194268,53.4726084
2392,"Kiltormer","Galway","","Kiltormer,Galway","Kiltormer,Galway,Ireland",-8.2733889,53.2355071
616,"Kiltyclogher","Leitrim","","Kiltyclogher,Leitrim","Kiltyclogher,Leitrim,Ireland",-8.036875,54.3562387
182,"Kilworth","Cork","","Kilworth,Cork","Kilworth,Cork,Ireland",-8.2473123,52.1760533
386,"Kimmage","Dublin","","Kimmage,Dublin","Kimmage,Dublin,Ireland",-6.298186,53.3206416
2052,"Kimmage Manor","Dublin","","Kimmage Manor,Dublin","Kimmage Manor,Dublin,Ireland",-6.309807,53.308025
2097,"Kinawley","Fermanagh","","Kinawley,Fermanagh","Kinawley,Fermanagh,Ireland",-7.65037,54.22618
271,"Kincasslagh","Donegal","","Kincasslagh,Donegal","Kincasslagh,Donegal,Ireland",-8.39384,55.02668
62,"Kingscourt","Cavan","","Kingscourt,Cavan","Kingscourt,Cavan,Ireland",-6.8052229,53.9068739
2216,"Kingscourt","Meath","","Kingscourt,Meath","Kingscourt,Meath,Ireland",-6.8052229,53.9068739
1431,"Kingston","Galway","","Kingston,Galway","Kingston,Galway,Ireland",-9.0991493,53.2661613
1659,"Kingswood","Dublin","","Kingswood,Dublin","Kingswood,Dublin,Ireland",-6.4139152,53.3031436
617,"Kinlough","Leitrim","","Kinlough,Leitrim","Kinlough,Leitrim,Ireland",-8.2858213,54.4487146
909,"Kinnegad","Westmeath","","Kinnegad,Westmeath","Kinnegad,Westmeath,Ireland",-7.1049959,53.4568103
1708,"Kinnegad","Meath","","Kinnegad,Meath","Kinnegad,Meath,Ireland",-6.9621396,53.5293612
779,"Kinnitty","Offaly","","Kinnitty,Offaly","Kinnitty,Offaly,Ireland",-7.7189969,53.097806
183,"Kinsale","Cork","","Kinsale,Cork","Kinsale,Cork,Ireland",-8.5222327,51.7058853
1529,"Kinsalebeg","Waterford","","Kinsalebeg,Waterford","Kinsalebeg,Waterford,Ireland",-7.8092161,51.9692953
1115,"Kinsealy","Dublin","","Kinsealy,Dublin","Kinsealy,Dublin,Ireland",-6.1763644,53.4245123
476,"Kinvara","Galway","","Kinvara,Galway","Kinvara,Galway,Ireland",-8.9362964,53.1389085
2329,"Kinvara","","","Kinvara,","Kinvara,,Ireland",-8.9362964,53.1389085
314,"Kircubbin","Down","","Kircubbin,Down","Kircubbin,Down,Ireland",-5.5330443,54.4874205
1176,"Kiskeam","Cork","","Kiskeam,Cork","Kiskeam,Cork,Ireland",-9.1587421,52.176179
2112,"Kiskeam","","","Kiskeam,","Kiskeam,,Ireland",-9.1587421,52.176179
722,"Knock","Mayo","","Knock,Mayo","Knock,Mayo,Ireland",-8.921466,53.7900638
2594,"Knockaderry","Limerick","","Knockaderry,Limerick","Knockaderry,Limerick,Ireland",-8.9667443,52.4655778
1694,"Knockainey","Limerick","","Knockainey,Limerick","Knockainey,Limerick,Ireland",-8.4679906,52.473618
